state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff
Alabama,01001,Autauga County,20447,7429,28139,13018.0,0.7266427378371655,0.26401080351114115,0.46263193432602434
Alabama,01003,Baldwin County,95144,24763,120973,70381.0,0.786489547254346,0.20469856910219636,0.5817909781521498
Alabama,01005,Barbour County,5578,4120,9766,1458.0,0.5711652672537375,0.4218718001228753,0.14929346713086222
Alabama,01007,Bibb County,7563,1617,9230,5946.0,0.8193932827735645,0.1751895991332611,0.6442036836403033
Alabama,01009,Blount County,25271,2569,28024,22702.0,0.9017627747644876,0.09167142449329146,0.8100913502711962
Alabama,01011,Bullock County,1099,2983,4104,-1884.0,0.26778752436647174,0.7268518518518519,-0.4590643274853801
Alabama,01013,Butler County,5167,3248,8459,1919.0,0.6108287031564015,0.3839697363754581,0.22685896678094336
Alabama,01015,Calhoun County,34841,13170,48435,21671.0,0.7193351914937545,0.2719108082997832,0.44742438319397126
Alabama,01017,Chambers County,8704,5402,14215,3302.0,0.6123109391487865,0.3800211044671122,0.23228983468167436
Alabama,01019,Cherokee County,11342,1550,12965,9792.0,0.8748168145005785,0.1195526417277285,0.75526417277285
Alabama,01021,Chilton County,16901,2697,19708,14204.0,0.8575705297341181,0.13684798051552668,0.7207225492185914
Alabama,01023,Choctaw County,4094,2511,6633,1583.0,0.6172169455751545,0.378561736770692,0.2386552088044625
Alabama,01025,Clarke County,6956,4917,11927,2039.0,0.5832145552108661,0.41225790223861825,0.17095665297224782
Alabama,01027,Clay County,5693,986,6709,4707.0,0.8485616336264719,0.14696676106722315,0.7015948725592487
Alabama,01029,Cleburne County,6984,605,7633,6379.0,0.9149744530328835,0.07926110310493908,0.8357133499279444
Alabama,01031,Coffee County,17457,4585,22214,12872.0,0.7858557666336544,0.20640136850634735,0.579454398127307
Alabama,01033,Colbert County,19614,7092,26940,12522.0,0.7280623608017818,0.26325167037861913,0.46481069042316264
Alabama,01035,Conecuh County,3423,2580,6043,843.0,0.5664405096806222,0.42694026145953995,0.13950024822108226
Alabama,01037,Coosa County,3750,1475,5253,2275.0,0.7138777841233581,0.2807919284218542,0.43308585570150393
Alabama,01039,Covington County,14664,2309,17054,12355.0,0.8598569250615692,0.13539345608068487,0.7244634689808843
Alabama,01041,Crenshaw County,4993,1453,6469,3540.0,0.7718349049312104,0.22460967692069872,0.5472252280105117
Alabama,01043,Cullman County,38669,4033,43010,34636.0,0.8990699837247151,0.09376889095559172,0.8053010927691234
Alabama,01045,Dale County,14473,4478,19095,9995.0,0.7579471065724012,0.23451165226499082,0.5234354543074103
Alabama,01047,Dallas County,5188,10233,15523,-5045.0,0.33421374734265286,0.6592153578560845,-0.3250016105134317
Alabama,01049,DeKalb County,25631,3757,29580,21874.0,0.866497633536173,0.12701149425287356,0.7394861392832994
Alabama,01051,Elmore County,31336,9764,41443,21572.0,0.7561228675530246,0.23560070458219723,0.5205221629708274
Alabama,01053,Escambia County,10866,3956,14902,6910.0,0.7291638706213931,0.265467722453362,0.4636961481680311
Alabama,01055,Etowah County,35470,9969,45780,25501.0,0.7747924858016602,0.21775884665792922,0.5570336391437309
Alabama,01057,Fayette County,7154,1141,8351,6013.0,0.856663872590109,0.1366303436714166,0.7200335289186924
Alabama,01059,Franklin County,10404,1566,12062,8838.0,0.8625435251202123,0.12982921571878628,0.732714309401426
Alabama,01061,Geneva County,10924,1389,12383,9535.0,0.8821771783897279,0.11216991036097876,0.7700072680287491
Alabama,01063,Greene County,885,3131,4033,-2246.0,0.2194396231093479,0.7763451524919415,-0.5569055293825935
Alabama,01065,Hale County,3363,3861,7277,-498.0,0.4621409921671018,0.5305757867252989,-0.06843479455819712
Alabama,01067,Henry County,6983,2259,9291,4724.0,0.7515875578516844,0.24313852114949952,0.5084490367021849
Alabama,01069,Houston County,32255,11258,43883,20997.0,0.7350226739284005,0.2565458150080897,0.4784768589203108
Alabama,01071,Jackson County,20073,3274,23507,16799.0,0.8539158548517463,0.13927766197302932,0.7146381928787169
Alabama,01073,Jefferson County,130991,161828,296319,-30837.0,0.4420607520948707,0.5461276529685912,-0.1040669008737205
Alabama,01075,Lamar County,6028,805,6869,5223.0,0.8775658756733149,0.11719318678119085,0.7603726888921241
Alabama,01077,Lauderdale County,32615,10299,43332,22316.0,0.7526770054463214,0.23767654389365828,0.5150004615526631
Alabama,01079,Lawrence County,12961,2975,16043,9986.0,0.8078912921523406,0.18543913233185813,0.6224521598204824
Alabama,01081,Lee County,45883,25672,72430,20211.0,0.6334806019605136,0.3544387684661052,0.27904183349440836
Alabama,01083,Limestone County,37524,14452,52601,23072.0,0.7133704682420486,0.27474762837208416,0.4386228398699645
Alabama,01085,Lowndes County,1755,3865,5647,-2110.0,0.3107844873384098,0.684434212856384,-0.37364972551797415
Alabama,01087,Macon County,1681,6069,7804,-4388.0,0.2154023577652486,0.7776781137878012,-0.5622757560225525
Alabama,01089,Madison County,105149,87509,195749,17640.0,0.5371623865256017,0.44704698363720885,0.09011540288839281
Alabama,01091,Marengo County,4990,4621,9658,369.0,0.5166701180368606,0.4784634499896459,0.038206668047214676
Alabama,01093,Marion County,12238,1196,13515,11042.0,0.9055123936367,0.08849426563078061,0.8170181280059194
Alabama,01095,Marshall County,34350,5535,40174,28815.0,0.8550306168168467,0.1377756758102255,0.7172549410066211
Alabama,01097,Mobile County,99981,71279,172972,28702.0,0.5780184076035427,0.41208403672270655,0.16593437088083618
Alabama,01099,Monroe County,5997,3736,9785,2261.0,0.6128768523249872,0.38180889115993866,0.23106796116504857
Alabama,01101,Montgomery County,30404,57734,89088,-27330.0,0.3412805316091954,0.6480558548850575,-0.30677532327586204
